label	plist	programs	exists
jp.openclaw.event_notify_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.event_notify_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_event_notify_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/event_notify_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/event_notify_v1.launchd.err	0|0|0
jp.openclaw.executor_audit_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.executor_audit_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_executor_audit_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/executor_audit_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/executor_audit_v1.err	0|1|1
jp.openclaw.executor_guard_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.executor_guard_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_executor_guard_v2.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.executor_guard_v2.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.executor_guard_v2.launchd.out	0|1|1
jp.openclaw.focus3_exec_bridge_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.focus3_exec_bridge_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/.venv/bin/python|/Users/doyopc/AI/openclaw-factory-daemon/bots/focus3_exec_bridge_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/focus3_exec_bridge_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/focus3_exec_bridge_v1.err	1|1|1|1
jp.openclaw.focus3_judge_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.focus3_judge_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/run_focus3_judge_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/focus3_judge_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/focus3_judge_v1.err	1|1|1
jp.openclaw.ingest_private_replies_kaikun04	/Users/doyopc/Library/LaunchAgents/jp.openclaw.ingest_private_replies_kaikun04.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_ingest_private_replies_kaikun04.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.ingest_private_replies_kaikun04.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.ingest_private_replies_kaikun04.launchd.err	1|1|1
jp.openclaw.innovation_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.innovation_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_innovation_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/innovation_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/innovation_engine.launchd.err	0|0|0
jp.openclaw.innovation_engine_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.innovation_engine_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/innovation_engine_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/innovation_engine_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/innovation_engine_v1.err	0|1|1
jp.openclaw.kaikun02_router_cleanup_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun02_router_cleanup_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_kaikun02_router_cleanup_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun02_router_cleanup_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun02_router_cleanup_v1.err	0|1|1
jp.openclaw.kaikun04_capability_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_capability_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_capability_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_capability_router_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_capability_router_v1.out	0|1|1
jp.openclaw.kaikun04_chain_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_chain_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_chain_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_chain_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_chain_feedback_v1.err	0|1|1
jp.openclaw.kaikun04_chain_planner_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_chain_planner_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_chain_planner_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_chain_planner_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_chain_planner_v1.err	0|1|1
jp.openclaw.kaikun04_context_priority_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_context_priority_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_context_priority_router_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_context_priority_router_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_context_priority_router_v1.err	0|1|1
jp.openclaw.kaikun04_context_priority_router_v2	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_context_priority_router_v2.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_context_priority_router_v2.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_context_priority_router_v2.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_context_priority_router_v2.err	0|1|1
jp.openclaw.kaikun04_exec_bridge_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_exec_bridge_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_kaikun04_exec_bridge_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_exec_bridge_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_exec_bridge_v1.err	1|1|1
jp.openclaw.kaikun04_orchestrator_planner_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_orchestrator_planner_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_orchestrator_planner_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_planner_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_planner_v1.err	0|1|1
jp.openclaw.kaikun04_orchestrator_stage_executor_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_orchestrator_stage_executor_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_orchestrator_stage_executor_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_stage_executor_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_stage_executor_v1.err	0|1|1
jp.openclaw.kaikun04_orchestrator_stage_feedback_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_orchestrator_stage_feedback_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_orchestrator_stage_feedback_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_stage_feedback_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_orchestrator_stage_feedback_v1.err	0|1|1
jp.openclaw.kaikun04_route_finisher_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_route_finisher_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_route_finisher_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_route_finisher_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_route_finisher_v1.err	0|1|1
jp.openclaw.kaikun04_router_cleanup_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_router_cleanup_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_kaikun04_router_cleanup_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_router_cleanup_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_router_cleanup_v1.err	0|1|1
jp.openclaw.kaikun04_router_worker_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_router_worker_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_kaikun04_router_worker_v1.sh	1
jp.openclaw.kaikun04_routing_summary_reporter_loop_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_routing_summary_reporter_loop_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_routing_summary_reporter_loop_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_routing_summary_reporter_loop_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_routing_summary_reporter_loop_v1.err	0|1|1
jp.openclaw.kaikun04_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.kaikun04_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/data/skill_repos/agent-framework/python/.venv/bin/python|/Users/doyopc/AI/openclaw-factory-daemon/bots/kaikun04_watchdog_v1.py|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_watchdog_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/kaikun04_watchdog_v1.err	1|0|1|1
jp.openclaw.learning_brain_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.learning_brain_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_learning_brain_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/learning_brain_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/learning_brain_v1.launchd.err	0|1|1
jp.openclaw.learning_pattern_engine	/Users/doyopc/Library/LaunchAgents/jp.openclaw.learning_pattern_engine.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_learning_pattern_engine.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/learning_pattern_engine.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/learning_pattern_engine.launchd.err	0|0|0
jp.openclaw.log_rotate_safe_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.log_rotate_safe_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/logs/log_rotate_safe.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/log_rotate_safe.launchd.err	1|1
jp.openclaw.lp_autopilot_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.lp_autopilot_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/generated/lp_autopilot_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/lp_autopilot_v1.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/lp_autopilot_v1.err	1|1|1
